,AZ_SC_JMa_PJ53_1,AZ_SC_JMa_PJ53_10,AZ_SC_JMa_PJ53_11,AZ_SC_JMa_PJ53_12,AZ_SC_JMa_PJ53_13,AZ_SC_JMa_PJ53_14,AZ_SC_JMa_PJ53_15,AZ_SC_JMa_PJ53_16,AZ_SC_JMa_PJ53_17,AZ_SC_JMa_PJ53_18,AZ_SC_JMa_PJ53_19,AZ_SC_JMa_PJ53_2,AZ_SC_JMa_PJ53_20,AZ_SC_JMa_PJ53_21,AZ_SC_JMa_PJ53_22,AZ_SC_JMa_PJ53_23,AZ_SC_JMa_PJ53_24,AZ_SC_JMa_PJ53_3,AZ_SC_JMa_PJ53_4,AZ_SC_JMa_PJ53_5,AZ_SC_JMa_PJ53_6,AZ_SC_JMa_PJ53_7,AZ_SC_JMa_PJ53_8,AZ_SC_JMa_PJ53_9,AZ_SC_JMa_PJ54_1,AZ_SC_JMa_PJ54_10,AZ_SC_JMa_PJ54_11,AZ_SC_JMa_PJ54_12,AZ_SC_JMa_PJ54_13,AZ_SC_JMa_PJ54_14,AZ_SC_JMa_PJ54_15,AZ_SC_JMa_PJ54_16,AZ_SC_JMa_PJ54_17,AZ_SC_JMa_PJ54_18,AZ_SC_JMa_PJ54_19,AZ_SC_JMa_PJ54_2,AZ_SC_JMa_PJ54_20,AZ_SC_JMa_PJ54_21,AZ_SC_JMa_PJ54_22,AZ_SC_JMa_PJ54_23,AZ_SC_JMa_PJ54_24,AZ_SC_JMa_PJ54_3,AZ_SC_JMa_PJ54_4,AZ_SC_JMa_PJ54_5,AZ_SC_JMa_PJ54_6,AZ_SC_JMa_PJ54_7,AZ_SC_JMa_PJ54_8,AZ_SC_JMa_PJ54_9
AZ_SC_JMa_PJ53_1,0,2.32219544957069,1.64791843300216,0.972955074527657,1.00606454682977,1.04126160410862,1.46559687620821,1.02165124753198,1.15904463976501,0.987194382838346,1.20397280432594,0.972955074527657,NA,3.23848618144484,2.5453390008849,1.22358316090258,0.549306144334055,1.38555416853467,0.520497105187556,1.36668400454325,1.11281202592896,1.34717567837202,NA,NA,1.30538284349708,NA,1.11902328592824,1.32666265070648,0.967237885714825,1.58902691517397,0.673536823983305,1.13943428318836,1.81217046648818,0.757063866314888,0.672736183299818,1.09842001794857,0.82098055206983,3.15495913911326,NA,1.23127487134336,1.16228199985641,0.803583881949781,1.23127487134336,0.776528789498996,0.967584026261706,0.82098055206983,0.895879734614027,2.74949403100509
AZ_SC_JMa_PJ53_10,2.32219544957069,0,1.48520723278485,1.68571261166424,1.77288930523663,2.85263142991332,2.36067597013875,2.32219544957069,2.34180580614733,1.87180217690159,2.5453390008849,1.04385872549185,NA,0.693147180559945,1.46633706879343,2.15948424935337,2.58381952145296,2.58381952145296,2.05993321550861,1.87180217690159,1.72020904740772,1.70325827156988,NA,NA,1.58735746454122,NA,1.2721650351294,2.1194628955166,1.74062004466785,1.51332709194629,NA,1.44672671221679,1.96531221568935,1.46982140345147,1.71399778740844,2.34180580614733,1.44672671221679,1.22865934663459,NA,3.19679537697532,2.28050464510116,1.78827513457001,2.28050464510116,1.73440878466857,1.44672671221679,1.29257603238953,2.30178445231056,0.923277697083404
AZ_SC_JMa_PJ53_11,1.64791843300216,1.48520723278485,0,1.11679611075355,1.50407739677627,1.07974212467669,3.29583686600433,2.15874405676816,3.27696670201291,1.33105655295759,1.64791843300216,0.962645430926289,NA,1.19752516033307,2.02420373351754,0.97438160901886,2.04307389750896,NA,1.02898125500136,1.57221860977448,1.40260697477793,1.38565619894009,NA,NA,1.20076252042447,NA,1.44518587894808,1.1575038064963,1.19987442072385,1.29103519912082,1.48520723278485,1.46559687620821,1.62750743574204,1.40168019045327,1.44518587894808,1.89067234089301,1.11729018193999,1.80714529856143,NA,0.913080447972694,1.07559937747047,1.58400174724722,1.71158814419047,1.46559687620821,1.06013176810005,1.64791843300216,1.03972077083992,1.32163748277973
AZ_SC_JMa_PJ53_12,0.972955074527657,1.68571261166424,1.11679611075355,0,1.36811053903445,0.897255251299972,1.11679611075355,0.972955074527657,1.21570898241851,0.992565431104297,0.833193132152498,0.767255152713667,NA,1.42334834719675,2.19653823543023,1.09792594676212,0.74907133062823,2.21540839942166,1.04716507708679,1.21570898241851,0.881794296130679,0.71069284046558,NA,NA,1.15440782137234,NA,1.55038107802315,1.24022614971931,1.65989099508832,0.952544077267529,0.897255251299972,1.13547400402543,1.55038107802315,0.572566152151501,0.652439484817191,1.50339105487029,1.07831559018548,1.60218556933266,NA,0.982557564445682,1.36204718615059,1.60218556933266,1.03662478571596,0.972955074527657,1.07831559018548,1.32963001846639,1.1150630067653,2.11301119309865
AZ_SC_JMa_PJ53_13,1.00606454682977,1.77288930523663,1.50407739677627,1.36811053903445,0,0.792060052224905,1.09861228866811,1.31144619638095,1.89067234089301,1.26206368147064,1.38555416853467,0.74907133062823,NA,1.02567490340641,1.48520723278485,2.87150159390474,1.34992671694902,0.944461608840852,0.933671075197031,0.674277016568522,1.26907558215341,1.38565619894009,NA,NA,1.07559937747047,NA,1.36514317127455,1.44518587894808,1.64170717300289,1.36514317127455,1.19752516033307,1.06013176810005,1.36514317127455,1.58400174724722,1.85065098705625,1.77288930523663,1.11729018193999,2.50029247912138,NA,1.42390607173868,2.52251836040679,1.94067669118595,1.82937117984685,3.95050352599621,1.38555416853467,1.242453324894,1.22204232763387,1.80714529856143
AZ_SC_JMa_PJ53_14,1.04126160410862,2.85263142991332,1.07974212467669,0.897255251299972,0.792060052224905,0,1.57221860977448,1.73440878466857,2.34180580614733,0.955511445027436,1.62904826901074,1.28024750355608,NA,1.55334844578306,2.56494935746154,1.75401914124521,1.19752516033307,1.77288930523663,1.06140438539748,1.11803037452521,1.53788749061376,1.23325464232414,NA,NA,0.945503578368821,NA,1.51332709194629,0.915490091190668,1.51747649335364,1.07800902068844,1.46633706879343,1.15904463976501,1.02085060684849,1.22865934663459,1.13863364250488,1.24319351747922,1.98572321294947,2.48142231512995,NA,0.999570799639096,0.945503578368821,1.09512795401006,0.89421028398127,1.29257603238953,1.29257603238953,1.62904826901074,0.820179911386343,2.25827876381574
AZ_SC_JMa_PJ53_15,1.46559687620821,2.36067597013875,3.29583686600433,1.11679611075355,1.09861228866811,1.57221860977448,0,0.692406987974728,0.712017344551369,1.26206368147064,1.17791480375643,1.36811053903445,NA,1.40516452511131,1.19752516033307,1.19752516033307,1.09861228866811,1.04454506739783,1.38565619894009,1.07974212467669,1.26907558215341,0.441194590099237,NA,NA,0.773318505597535,NA,1.73286795139986,1.29103519912082,1.53634665734506,0.794598312806933,0.792060052224905,0.772449695648265,0.985653549569642,1.24752951062601,1.62750743574204,1.33105655295759,1.38555416853467,1.68936226290505,NA,1.20076252042447,1.60622762853264,1.58400174724722,2.11705325229863,1.75327894865999,1.55260825319784,1.87106198431637,1.98418237968077,1.4886915674429
AZ_SC_JMa_PJ53_16,1.02165124753198,2.32219544957069,2.15874405676816,0.972955074527657,1.31144619638095,1.73440878466857,0.692406987974728,0,0.753579531656841,1.09842001794857,1.13943428318836,1.32963001846639,NA,1.29257603238953,1.85219182032495,1.09842001794857,0.692406987974728,1.31144619638095,0.895190554628967,1.85219182032495,1.51827713403712,0.585035626325127,NA,NA,1.0371188569024,NA,1.40670535838002,1.11902328592824,1.02786250753126,0.559407497992815,0.564337532018313,1.02165124753198,1.6943874308318,0.712612103744054,1.18356180706581,1.04126160410862,0.867500567704723,1.65088174233698,NA,1.09774347871884,1.23127487134336,1.3631996698852,1.23127487134336,1.07880966137193,1.07880966137193,1.71479842809193,1.6943874308318,2.46181195855331
AZ_SC_JMa_PJ53_17,1.15904463976501,2.34180580614733,3.27696670201291,1.21570898241851,1.89067234089301,2.34180580614733,0.712017344551369,0.753579531656841,0,1.31218638896617,2.13987389277673,1.50339105487029,NA,1.64865862558738,1.17865499634165,1.31218638896617,0.792060052224905,1.07974212467669,1.23325464232414,1.17865499634165,0.844740310053818,1.11547160666776,NA,NA,1.05672921347905,NA,0.966783385578219,1.2721650351294,0.875622607181241,1.51332709194629,0.860201265223111,0.935901088450796,2.30178445231056,0.871984402695853,1.60863727175061,1.06087196068526,1.22358316090258,1.92180652719453,NA,1.94403240847995,2.50364819641537,1.30276731878831,1.25088522792,1.22358316090258,0.987194382838346,1.09842001794857,2.30178445231056,2.48142231512995
AZ_SC_JMa_PJ53_18,0.987194382838346,1.87180217690159,1.33105655295759,0.992565431104297,1.26206368147064,0.955511445027436,1.26206368147064,1.09842001794857,1.31218638896617,0,1.09842001794857,0.852803488729139,NA,2.34180580614733,2.56494935746154,0.955511445027436,1.40516452511131,1.13690053851663,0.571856160078777,2.00533356952611,0.931751687043448,0.870349148634774,NA,NA,0.631846019513779,NA,2.1194628955166,0.866699927021236,1.62283700901146,0.915490091190668,0.815749502652278,0.935901088450796,1.42631571495666,0.871984402695853,1.07800902068844,2.15948424935337,1.53373808920642,2.25827876381574,NA,1.11735383529548,1.58735746454122,1.15966647514763,1.94403240847995,1.04126160410862,1.15904463976501,1.15904463976501,0.733168534396713,2.48142231512995
